Disease,Symptom,Medicine
Eczema,Muscle Weakness,Sildenafil
Hypertension,Night Sweats,Adalimumab
Chronic Kidney Disease,Tremors,Azithromycin
Glaucoma,High Blood Pressure,Losartan
Osteoporosis,Abdominal Pain,Terbinafine
Allergy,Itching,Paracetamol
Eczema,Muscle Weakness,Hydrocortisone
Sinusitis,Blurred Vision,Levothyroxine
Heart Disease,Loss of Appetite,Amoxicillin
Dengue,Vomiting,Levothyroxine
Typhoid,Skin Rash,Isoniazid
Diabetes,Night Sweats,Topiramate
Arthritis,Tremors,Doxycycline
Dengue,Dizziness,Propranolol
Asthma,Weight Loss,Omeprazole
Sinusitis,Fatigue,Metformin
Hepatitis,Blurred Vision,Losartan
Diabetes,Back Pain,Chloroquine
Jaundice,Back Pain,Metformin
Hypertension,Fatigue,Ondansetron
Eczema,Red Eyes,Rifampin
Whooping Cough,Back Pain,Paracetamol
Chickenpox,Ear Pain,Ranitidine
Vertigo,Dizziness,Paracetamol
Zika Virus,Chest Pain,Hydrocortisone
Influenza,Back Pain,Sumatriptan
Malaria,Sore Throat,Hydrocortisone
Jaundice,Diarrhea,Calamine Lotion
Eczema,Cough,Cetirizine
Influenza,Joint Pain,Topiramate
Hypertension,Weight Loss,Budesonide
Osteoporosis,Numbness,Loratadine
Hepatitis,Diarrhea,Glibenclamide
Gastroenteritis,Rapid Heartbeat,Metformin
Arthritis,Skin Rash,Propranolol
Typhoid,Swollen Lymph Nodes,Prednisone
Jaundice,Abdominal Pain,Budesonide
Heart Disease,Vomiting,Sildenafil
Fungal Infection,Chest Pain,Omeprazole
Gastroenteritis,Tremors,Glibenclamide
Lung Cancer,Weight Loss,Loperamide
Pneumonia,Chest Pain,Propranolol
Gastroenteritis,Joint Pain,Adalimumab
Urinary Tract Infection,Headache,Topiramate
Multiple Sclerosis,Skin Rash,Budesonide
Allergy,Rapid Heartbeat,Losartan
Arthritis,Weight Loss,Budesonide
Lung Cancer,Red Eyes,Ranitidine
Zika Virus,Fatigue,Loperamide
Asthma,Vomiting,Hydrocortisone
Urinary Tract Infection,Red Eyes,Ranitidine
Psoriasis,Dizziness,Hydrocortisone
Chronic Kidney Disease,Skin Rash,Cetirizine
Influenza,Rapid Heartbeat,Hydrocortisone
Chickenpox,Vomiting,Adalimumab
Eczema,Numbness,Losartan
Arthritis,Headache,Adalimumab
Eczema,Headache,Propranolol
Tuberculosis,Fatigue,Hydrocortisone
Chickenpox,High Blood Pressure,Isoniazid
Heart Disease,Runny Nose,Doxycycline
Sinusitis,Red Eyes,Azithromycin
Zika Virus,Loss of Appetite,Budesonide
Osteoporosis,Swollen Lymph Nodes,Metformin
Sinusitis,Chest Pain,Propranolol
Epilepsy,Fatigue,Ibuprofen
Arthritis,Runny Nose,Ciprofloxacin
Diabetes,Swelling,Propranolol
Pneumonia,Runny Nose,Azithromycin
Bronchitis,Runny Nose,Loratadine
Typhoid,High Blood Pressure,Topiramate
Dengue,Blurred Vision,Paracetamol
Fungal Infection,Dizziness,Paracetamol
Zika Virus,Itching,Rifampin
Typhoid,Swollen Lymph Nodes,Sumatriptan
Eczema,Red Eyes,Prednisone
Allergy,Night Sweats,Rifampin
Whooping Cough,Blurred Vision,Azithromycin
Migraine,Fever,Doxycycline
Jaundice,Tremors,Metformin
Diabetes,Night Sweats,Hydrocortisone
Bronchitis,Vomiting,Isoniazid
Bronchitis,Loss of Appetite,Sumatriptan
Sinusitis,Dizziness,Propranolol
COVID-19,Blurred Vision,Chloroquine
Lung Cancer,Diarrhea,Sumatriptan
Vertigo,Red Eyes,Amoxicillin
Typhoid,Swelling,Ibuprofen
Whooping Cough,Abdominal Pain,Hydrocortisone
Lung Cancer,Shortness of breath,Losartan
Tuberculosis,Abdominal Pain,Topiramate
Eczema,Shortness of breath,Ciprofloxacin
Fungal Infection,Fever,Sumatriptan
Allergy,Vomiting,Metformin
Common Cold,Loss of Appetite,Ciprofloxacin
Arthritis,Skin Rash,Paracetamol
COVID-19,Loss of Appetite,Rifampin
Sinusitis,Loss of Appetite,Isoniazid
Hypertension,Loss of Appetite,Topiramate
Hepatitis,Muscle Weakness,Levothyroxine
Bronchitis,High Blood Pressure,Adalimumab
Migraine,Numbness,Cetirizine
Common Cold,Shortness of breath,Doxycycline
COVID-19,Rapid Heartbeat,Topiramate
Hypertension,Loss of Appetite,Adalimumab
Chickenpox,High Blood Pressure,Sumatriptan
Hypertension,Cough,Azithromycin
Multiple Sclerosis,Tremors,Ranitidine
Whooping Cough,Abdominal Pain,Isoniazid
Zika Virus,Rapid Heartbeat,Cetirizine
Hepatitis,Muscle Weakness,Isoniazid
Allergy,Blurred Vision,Amoxicillin
Glaucoma,Red Eyes,Cetirizine
Gastroenteritis,Numbness,Cetirizine
Fungal Infection,Itching,Isoniazid
Acne,Fever,Ibuprofen
Multiple Sclerosis,Loss of Appetite,Cetirizine
Tuberculosis,Loss of Appetite,Topiramate
Gastroenteritis,Back Pain,Omeprazole
Lung Cancer,Blurred Vision,Amoxicillin
Allergy,Shortness of breath,Omeprazole
Jaundice,Loss of Appetite,Levothyroxine
Hypertension,High Blood Pressure,Ibuprofen
Tuberculosis,Loss of Appetite,Ondansetron
Tuberculosis,Red Eyes,Terbinafine
Diabetes,Nausea,Amoxicillin
Acne,Blurred Vision,Ranitidine
Glaucoma,Tremors,Chloroquine
Malaria,Back Pain,Sildenafil
Bronchitis,Runny Nose,Cetirizine
Pneumonia,Weight Loss,Hydrocortisone
Asthma,Red Eyes,Doxycycline
Dengue,Loss of Appetite,Loperamide
Influenza,Headache,Ciprofloxacin
Asthma,Diarrhea,Levothyroxine
Peptic Ulcer,Loss of Appetite,Ibuprofen
Vertigo,Cough,Hydrocortisone
Tuberculosis,Tremors,Ranitidine
Common Cold,Swollen Lymph Nodes,Glibenclamide
Arthritis,Vomiting,Hydrocortisone
Hepatitis,Dizziness,Ondansetron
Malaria,Rapid Heartbeat,Azithromycin
Lung Cancer,Chest Pain,Aspirin
Glaucoma,Blurred Vision,Propranolol
Diabetes,Cough,Terbinafine
COVID-19,Tremors,Rifampin
Vertigo,Dizziness,Levothyroxine
Epilepsy,Runny Nose,Hydrocortisone
Typhoid,Vomiting,Prednisone
Arthritis,Loss of Appetite,Rifampin
Peptic Ulcer,Runny Nose,Azithromycin
Osteoporosis,Diarrhea,Adalimumab
Migraine,Loss of Appetite,Topiramate
Hepatitis,Shortness of breath,Loperamide
Multiple Sclerosis,Chest Pain,Rifampin
Bronchitis,Rapid Heartbeat,Prednisone
Jaundice,Headache,Prednisone
Malaria,Red Eyes,Ondansetron
Chickenpox,High Blood Pressure,Prednisone
Arthritis,Joint Pain,Azithromycin
Common Cold,Skin Rash,Adalimumab
Glaucoma,Vomiting,Rifampin
Arthritis,Joint Pain,Ibuprofen
Zika Virus,Night Sweats,Ranitidine
Common Cold,Tremors,Levothyroxine
Eczema,Itching,Azithromycin
Ulcerative Colitis,Muscle Weakness,Terbinafine
Osteoporosis,Abdominal Pain,Doxycycline
Zika Virus,Fatigue,Topiramate
Urinary Tract Infection,Weight Loss,Ranitidine
Arthritis,Loss of Appetite,Aspirin
Psoriasis,Nausea,Azithromycin
Asthma,Red Eyes,Calamine Lotion
Epilepsy,Rapid Heartbeat,Calamine Lotion
Fungal Infection,Rapid Heartbeat,Metformin
Psoriasis,Dizziness,Propranolol
Chickenpox,Sore Throat,Isoniazid
Fungal Infection,Ear Pain,Amoxicillin
Peptic Ulcer,Tremors,Doxycycline
Chickenpox,Loss of Appetite,Terbinafine
Common Cold,Chest Pain,Glibenclamide
Migraine,Diarrhea,Ciprofloxacin
Sinusitis,Dizziness,Omeprazole
Hypertension,Loss of Appetite,Ciprofloxacin
Asthma,Diarrhea,Aspirin
Hepatitis,Swelling,Levothyroxine
Diabetes,Tremors,Paracetamol
Pneumonia,Numbness,Paracetamol
Eczema,Red Eyes,Isoniazid
Gastroenteritis,Dizziness,Terbinafine
Zika Virus,Night Sweats,Glibenclamide
Diabetes,Fatigue,Loratadine
Sinusitis,Skin Rash,Prednisone
Acne,Fatigue,Terbinafine
COVID-19,Shortness of breath,Amoxicillin
Hepatitis,Numbness,Ciprofloxacin
Psoriasis,Fatigue,Sumatriptan
Whooping Cough,Dizziness,Chloroquine
Influenza,Numbness,Sumatriptan
Osteoporosis,Back Pain,Calamine Lotion
Hepatitis,Tremors,Losartan
Hepatitis,Runny Nose,Calamine Lotion
Psoriasis,Back Pain,Ondansetron
Influenza,Shortness of breath,Doxycycline
Eczema,Numbness,Terbinafine
Acne,Red Eyes,Ibuprofen
Diabetes,Shortness of breath,Rifampin
Peptic Ulcer,Red Eyes,Doxycycline
Lung Cancer,Back Pain,Propranolol
Dengue,Fatigue,Rifampin
Lung Cancer,Red Eyes,Aspirin
Lung Cancer,Cough,Terbinafine
Asthma,Blurred Vision,Hydrocortisone
Vertigo,Muscle Weakness,Loratadine
Epilepsy,Red Eyes,Ciprofloxacin
Fungal Infection,Chest Pain,Omeprazole
Chickenpox,Headache,Isoniazid
Vertigo,Tremors,Aspirin
Multiple Sclerosis,Diarrhea,Metformin
Osteoporosis,Blurred Vision,Ondansetron
Glaucoma,Fever,Sumatriptan
Common Cold,Sore Throat,Sumatriptan
Malaria,Loss of Appetite,Loratadine
Fungal Infection,Red Eyes,Ciprofloxacin
COVID-19,Skin Rash,Glibenclamide
Allergy,Chest Pain,Aspirin
Gastroenteritis,Numbness,Hydrocortisone
COVID-19,Headache,Cetirizine
Peptic Ulcer,Weight Loss,Aspirin
Arthritis,Tremors,Ciprofloxacin
Migraine,Back Pain,Ibuprofen
Vertigo,Back Pain,Aspirin
Whooping Cough,Tremors,Losartan
Eczema,Itching,Sumatriptan
Tuberculosis,Fever,Adalimumab
Multiple Sclerosis,Cough,Isoniazid
Eczema,Back Pain,Ondansetron
Bronchitis,Tremors,Glibenclamide
Dengue,Sore Throat,Amoxicillin
Osteoporosis,Dizziness,Ondansetron
Sinusitis,Chest Pain,Ibuprofen
Multiple Sclerosis,Vomiting,Ibuprofen
Multiple Sclerosis,Swollen Lymph Nodes,Ciprofloxacin
Chickenpox,Headache,Glibenclamide
Dengue,Tremors,Propranolol
Jaundice,Joint Pain,Glibenclamide
Ulcerative Colitis,Muscle Weakness,Prednisone
Acne,Fever,Propranolol
Peptic Ulcer,Abdominal Pain,Terbinafine
Ulcerative Colitis,Diarrhea,Loratadine
Migraine,Weight Loss,Ondansetron
Jaundice,Swollen Lymph Nodes,Loperamide
Urinary Tract Infection,Abdominal Pain,Topiramate
Chickenpox,Night Sweats,Ciprofloxacin
Vertigo,Itching,Cetirizine
Psoriasis,Itching,Topiramate
Multiple Sclerosis,Abdominal Pain,Loratadine
Heart Disease,Night Sweats,Calamine Lotion
Gastroenteritis,Ear Pain,Hydrocortisone
Asthma,Shortness of breath,Azithromycin
Arthritis,Itching,Calamine Lotion
Epilepsy,Runny Nose,Azithromycin
Malaria,Blurred Vision,Adalimumab
Eczema,High Blood Pressure,Hydrocortisone
Tuberculosis,Back Pain,Paracetamol
Acne,Muscle Weakness,Chloroquine
Fungal Infection,Ear Pain,Terbinafine
Tuberculosis,Itching,Aspirin
Arthritis,Rapid Heartbeat,Isoniazid
Influenza,Headache,Amoxicillin
COVID-19,Back Pain,Ciprofloxacin
Vertigo,Rapid Heartbeat,Adalimumab
Pneumonia,Headache,Levothyroxine
Typhoid,Weight Loss,Ranitidine
Zika Virus,Blurred Vision,Loratadine
Ulcerative Colitis,Chest Pain,Rifampin
Jaundice,Joint Pain,Loratadine
Peptic Ulcer,Ear Pain,Chloroquine
Epilepsy,Back Pain,Amoxicillin
Jaundice,Night Sweats,Metformin
Gastroenteritis,Blurred Vision,Omeprazole
Urinary Tract Infection,Dizziness,Sumatriptan
Gastroenteritis,Itching,Amoxicillin
Osteoporosis,Cough,Paracetamol
Asthma,Loss of Appetite,Ranitidine
Zika Virus,Vomiting,Loratadine
Dengue,Loss of Appetite,Omeprazole
Dengue,Night Sweats,Levothyroxine
Peptic Ulcer,Red Eyes,Paracetamol
Fungal Infection,Rapid Heartbeat,Ondansetron
Ulcerative Colitis,Itching,Rifampin
COVID-19,Skin Rash,Terbinafine
Multiple Sclerosis,Rapid Heartbeat,Cetirizine
Psoriasis,Itching,Prednisone
Hypertension,Abdominal Pain,Metformin
Jaundice,Tremors,Glibenclamide
Malaria,Runny Nose,Prednisone
Fungal Infection,Numbness,Aspirin
Chickenpox,High Blood Pressure,Budesonide
Lung Cancer,High Blood Pressure,Doxycycline
Sinusitis,Joint Pain,Chloroquine
Jaundice,Skin Rash,Isoniazid
Tuberculosis,Night Sweats,Ondansetron
Psoriasis,Fever,Isoniazid
Eczema,High Blood Pressure,Azithromycin
Whooping Cough,Loss of Appetite,Sumatriptan
Gastroenteritis,Vomiting,Loratadine
Jaundice,Swelling,Amoxicillin
Osteoporosis,Chest Pain,Loratadine
Heart Disease,High Blood Pressure,Azithromycin
Fungal Infection,Sore Throat,Loperamide
Influenza,Itching,Ibuprofen
Multiple Sclerosis,Diarrhea,Hydrocortisone
Sinusitis,Loss of Appetite,Propranolol
Migraine,High Blood Pressure,Terbinafine
COVID-19,Fever,Loratadine
Hypertension,Muscle Weakness,Propranolol
Gastroenteritis,Vomiting,Adalimumab
Bronchitis,Tremors,Hydrocortisone
Peptic Ulcer,Diarrhea,Isoniazid
Ulcerative Colitis,Weight Loss,Cetirizine
Hypertension,Blurred Vision,Budesonide
Acne,Night Sweats,Sumatriptan
COVID-19,Numbness,Paracetamol
Migraine,Tremors,Calamine Lotion
Lung Cancer,Headache,Budesonide
Tuberculosis,Night Sweats,Aspirin
Psoriasis,Diarrhea,Levothyroxine
Bronchitis,Abdominal Pain,Azithromycin
Diabetes,Headache,Levothyroxine
Fungal Infection,Abdominal Pain,Adalimumab
Fungal Infection,High Blood Pressure,Chloroquine
COVID-19,Rapid Heartbeat,Isoniazid
Vertigo,Blurred Vision,Propranolol
Hypertension,Cough,Doxycycline
Peptic Ulcer,Runny Nose,Sildenafil
Vertigo,Nausea,Topiramate
Asthma,Skin Rash,Prednisone
Allergy,Runny Nose,Rifampin
Epilepsy,Night Sweats,Amoxicillin
Eczema,Skin Rash,Omeprazole
Gastroenteritis,Cough,Paracetamol
Arthritis,High Blood Pressure,Ondansetron
Eczema,Runny Nose,Adalimumab
Osteoporosis,Dizziness,Aspirin
Pneumonia,Sore Throat,Azithromycin
Psoriasis,Cough,Terbinafine
Ulcerative Colitis,Fatigue,Ciprofloxacin
Ulcerative Colitis,Abdominal Pain,Doxycycline
Influenza,Rapid Heartbeat,Ondansetron
Psoriasis,Fever,Sumatriptan
COVID-19,Joint Pain,Levothyroxine
Jaundice,Weight Loss,Loratadine
Whooping Cough,Muscle Weakness,Terbinafine
Psoriasis,Sore Throat,Doxycycline
Jaundice,Abdominal Pain,Hydrocortisone
Common Cold,Swollen Lymph Nodes,Omeprazole
Vertigo,Itching,Amoxicillin
Arthritis,Dizziness,Levothyroxine
Lung Cancer,Tremors,Amoxicillin
Urinary Tract Infection,Nausea,Doxycycline
Chronic Kidney Disease,Ear Pain,Adalimumab
Multiple Sclerosis,Red Eyes,Terbinafine
Allergy,Chest Pain,Paracetamol
Tuberculosis,Fatigue,Losartan
Chickenpox,Itching,Loratadine
Osteoporosis,Joint Pain,Levothyroxine
Allergy,Night Sweats,Glibenclamide
Migraine,Swelling,Sildenafil
Jaundice,Headache,Prednisone
Asthma,Chest Pain,Amoxicillin
Whooping Cough,Loss of Appetite,Doxycycline
Arthritis,Shortness of breath,Sildenafil
Fungal Infection,Skin Rash,Glibenclamide
Osteoporosis,Vomiting,Ciprofloxacin
Gastroenteritis,Chest Pain,Topiramate
Hypertension,Swelling,Cetirizine
Bronchitis,Cough,Adalimumab
Acne,Vomiting,Topiramate
Jaundice,Sore Throat,Omeprazole
Fungal Infection,Blurred Vision,Ibuprofen
Vertigo,Muscle Weakness,Propranolol
Epilepsy,Ear Pain,Topiramate
Jaundice,Muscle Weakness,Calamine Lotion
Bronchitis,Sore Throat,Losartan
Typhoid,Itching,Chloroquine
Dengue,Back Pain,Doxycycline
Glaucoma,Joint Pain,Isoniazid
Glaucoma,Blurred Vision,Losartan
Asthma,Night Sweats,Doxycycline
Diabetes,Headache,Loratadine
Hepatitis,Tremors,Sumatriptan
Heart Disease,Joint Pain,Ciprofloxacin
Lung Cancer,Tremors,Sumatriptan
Hepatitis,Fever,Hydrocortisone
Arthritis,Runny Nose,Ondansetron
Diabetes,Rapid Heartbeat,Budesonide
Psoriasis,Runny Nose,Propranolol
COVID-19,Sore Throat,Losartan
COVID-19,Fatigue,Terbinafine
Chickenpox,Cough,Paracetamol
Diabetes,Night Sweats,Azithromycin
Epilepsy,Skin Rash,Glibenclamide
Migraine,Chest Pain,Amoxicillin
Psoriasis,Joint Pain,Cetirizine
Ulcerative Colitis,Cough,Cetirizine
Pneumonia,Weight Loss,Budesonide
Hypertension,Weight Loss,Isoniazid
COVID-19,Abdominal Pain,Rifampin
Diabetes,Tremors,Hydrocortisone
Psoriasis,Night Sweats,Azithromycin
Arthritis,Night Sweats,Levothyroxine
Hepatitis,Numbness,Glibenclamide
Typhoid,Dizziness,Loratadine
Whooping Cough,Swelling,Sumatriptan
Multiple Sclerosis,Tremors,Omeprazole
Multiple Sclerosis,Night Sweats,Loperamide
Bronchitis,Headache,Rifampin
Jaundice,Headache,Chloroquine
Peptic Ulcer,Night Sweats,Levothyroxine
Sinusitis,Blurred Vision,Ranitidine
COVID-19,Ear Pain,Terbinafine
Common Cold,Loss of Appetite,Losartan
Epilepsy,Joint Pain,Azithromycin
Acne,Tremors,Propranolol
Pneumonia,Tremors,Omeprazole
Vertigo,Loss of Appetite,Glibenclamide
Whooping Cough,Cough,Losartan
Vertigo,Swollen Lymph Nodes,Losartan
Influenza,Skin Rash,Ranitidine
Osteoporosis,Blurred Vision,Ondansetron
Malaria,Shortness of breath,Paracetamol
Tuberculosis,Tremors,Rifampin
Common Cold,Loss of Appetite,Ondansetron
Tuberculosis,Fever,Sumatriptan
Ulcerative Colitis,Ear Pain,Aspirin
Allergy,Swelling,Losartan
Dengue,Dizziness,Ibuprofen
Peptic Ulcer,Swelling,Azithromycin
Migraine,High Blood Pressure,Ondansetron
Hepatitis,Muscle Weakness,Hydrocortisone
Vertigo,Skin Rash,Amoxicillin
Glaucoma,Tremors,Metformin
Ulcerative Colitis,Night Sweats,Doxycycline
Hypertension,Runny Nose,Aspirin
COVID-19,Shortness of breath,Ranitidine
Migraine,Loss of Appetite,Rifampin
Heart Disease,Diarrhea,Adalimumab
Glaucoma,Tremors,Isoniazid
Arthritis,Back Pain,Glibenclamide
Arthritis,Night Sweats,Azithromycin
Arthritis,Night Sweats,Doxycycline
Fungal Infection,Itching,Prednisone
Chickenpox,Cough,Ciprofloxacin
Asthma,Back Pain,Chloroquine
Fungal Infection,Diarrhea,Sildenafil
Chronic Kidney Disease,Chest Pain,Ibuprofen
Tuberculosis,Dizziness,Loratadine
Dengue,Joint Pain,Metformin
Tuberculosis,Dizziness,Azithromycin
Lung Cancer,Loss of Appetite,Rifampin
COVID-19,Weight Loss,Ondansetron
Pneumonia,Loss of Appetite,Loperamide
Osteoporosis,Fatigue,Chloroquine
Bronchitis,Tremors,Ibuprofen
Peptic Ulcer,Dizziness,Ciprofloxacin
Tuberculosis,Runny Nose,Topiramate
Urinary Tract Infection,Numbness,Loratadine
Chronic Kidney Disease,Muscle Weakness,Topiramate
Typhoid,Headache,Ondansetron
Malaria,High Blood Pressure,Metformin
Eczema,Fever,Ciprofloxacin
Sinusitis,Abdominal Pain,Prednisone
Influenza,High Blood Pressure,Chloroquine
Vertigo,Back Pain,Isoniazid
Hepatitis,Swollen Lymph Nodes,Amoxicillin
Gastroenteritis,Blurred Vision,Glibenclamide
Sinusitis,Red Eyes,Terbinafine
Psoriasis,Diarrhea,Paracetamol
Hypertension,High Blood Pressure,Budesonide
Sinusitis,Sore Throat,Terbinafine
Eczema,Red Eyes,Adalimumab
Migraine,Red Eyes,Budesonide
Asthma,Loss of Appetite,Isoniazid
Asthma,Blurred Vision,Sildenafil
Zika Virus,Loss of Appetite,Glibenclamide
Vertigo,Fever,Metformin
Chickenpox,Headache,Glibenclamide
Jaundice,Cough,Levothyroxine
Psoriasis,Numbness,Sildenafil
Eczema,Fever,Terbinafine
Peptic Ulcer,Numbness,Calamine Lotion
Dengue,Sore Throat,Cetirizine
Fungal Infection,High Blood Pressure,Loratadine
Osteoporosis,Ear Pain,Paracetamol
Zika Virus,Swollen Lymph Nodes,Prednisone
Psoriasis,Shortness of breath,Paracetamol
Dengue,Weight Loss,Glibenclamide
Zika Virus,Vomiting,Isoniazid
Vertigo,High Blood Pressure,Glibenclamide
Gastroenteritis,Red Eyes,Isoniazid
Malaria,Swollen Lymph Nodes,Loperamide
Influenza,Ear Pain,Rifampin
Hepatitis,Numbness,Loratadine
Fungal Infection,Shortness of breath,Hydrocortisone
Heart Disease,Weight Loss,Ciprofloxacin
Zika Virus,Fatigue,Calamine Lotion
Urinary Tract Infection,Diarrhea,Ondansetron
Migraine,Weight Loss,Paracetamol
Gastroenteritis,Muscle Weakness,Aspirin
Malaria,Joint Pain,Propranolol
Glaucoma,Shortness of breath,Losartan
Multiple Sclerosis,Muscle Weakness,Paracetamol
Osteoporosis,Fever,Prednisone
Ulcerative Colitis,Rapid Heartbeat,Loratadine
Influenza,Numbness,Ranitidine
Pneumonia,Back Pain,Ranitidine
Hepatitis,Muscle Weakness,Sumatriptan
Allergy,Cough,Cetirizine
Zika Virus,Numbness,Rifampin
Typhoid,Night Sweats,Budesonide
Allergy,Fever,Sildenafil
Hypertension,Sore Throat,Propranolol
Psoriasis,Back Pain,Loratadine
Peptic Ulcer,Ear Pain,Rifampin
Zika Virus,Night Sweats,Chloroquine
Eczema,Dizziness,Rifampin
Typhoid,Skin Rash,Omeprazole
Migraine,Night Sweats,Loratadine
Influenza,Ear Pain,Ondansetron
Psoriasis,Chest Pain,Prednisone
Influenza,Back Pain,Calamine Lotion
Common Cold,Nausea,Isoniazid
Dengue,Dizziness,Ranitidine
Chickenpox,Swelling,Levothyroxine
Fungal Infection,Muscle Weakness,Calamine Lotion
Epilepsy,Rapid Heartbeat,Budesonide
Ulcerative Colitis,Back Pain,Adalimumab
Psoriasis,Fever,Chloroquine
Peptic Ulcer,Diarrhea,Chloroquine
Peptic Ulcer,Skin Rash,Chloroquine
Hypertension,Shortness of breath,Doxycycline
Migraine,Loss of Appetite,Rifampin
Pneumonia,Swelling,Cetirizine
Lung Cancer,Fatigue,Ciprofloxacin
Epilepsy,Loss of Appetite,Isoniazid
Allergy,Nausea,Adalimumab
Hepatitis,Shortness of breath,Losartan
Whooping Cough,Cough,Ranitidine
Malaria,Headache,Ibuprofen
Migraine,Skin Rash,Ondansetron
Psoriasis,Dizziness,Ibuprofen
Hepatitis,Ear Pain,Calamine Lotion
Eczema,Headache,Rifampin
Urinary Tract Infection,Swelling,Sildenafil
Psoriasis,Headache,Aspirin
Bronchitis,Muscle Weakness,Loperamide
Typhoid,Skin Rash,Metformin
Whooping Cough,Tremors,Propranolol
Arthritis,Fever,Omeprazole
Allergy,Muscle Weakness,Omeprazole
Common Cold,Chest Pain,Ciprofloxacin
Asthma,Loss of Appetite,Losartan
Hypertension,Chest Pain,Prednisone
Gastroenteritis,Swollen Lymph Nodes,Levothyroxine
Peptic Ulcer,Red Eyes,Calamine Lotion
Asthma,Fatigue,Calamine Lotion
Malaria,Fatigue,Ciprofloxacin
Eczema,Runny Nose,Omeprazole
Peptic Ulcer,Ear Pain,Glibenclamide
Whooping Cough,Back Pain,Ciprofloxacin
Chronic Kidney Disease,Rapid Heartbeat,Calamine Lotion
Osteoporosis,High Blood Pressure,Doxycycline
Tuberculosis,Shortness of breath,Levothyroxine
Ulcerative Colitis,Numbness,Isoniazid
Gastroenteritis,Joint Pain,Isoniazid
Acne,Cough,Azithromycin
Ulcerative Colitis,Fatigue,Isoniazid
Migraine,Swelling,Loperamide
Lung Cancer,Cough,Azithromycin
Influenza,Back Pain,Cetirizine
Pneumonia,Cough,Loperamide
COVID-19,Numbness,Azithromycin
Chickenpox,Tremors,Prednisone
